"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 09 19:46:29 MSK 2022","Wed Feb 09 19:46:38 MSK 2022","8863","","tests.ConstructorTest","","tests.ConstructorTest","GoSauceTabTest","Успешный переход на вкладку Соусы",""
"passed","Wed Feb 09 19:47:00 MSK 2022","Wed Feb 09 19:47:02 MSK 2022","2280","","tests.PrivateCabinetInTest","","tests.PrivateCabinetInTest","successInMainPrivateCabinetTest","Успешный переход в личный кабинет с главной страницы",""
"passed","Wed Feb 09 19:48:03 MSK 2022","Wed Feb 09 19:48:06 MSK 2022","2867","","tests.UserLoginTest","","tests.UserLoginTest","successLoginMainPageWithInButtonTest","Успешный логин при попадании на страницу логина через кнопку Войти в аккаунт",""
"passed","Wed Feb 09 19:46:46 MSK 2022","Wed Feb 09 19:46:49 MSK 2022","2192","","tests.ConstructorYandexTest","","tests.ConstructorYandexTest","GoBunTabTest","Успешный переход на вкладку Булки из других вкладок",""
"passed","Wed Feb 09 19:47:02 MSK 2022","Wed Feb 09 19:47:05 MSK 2022","2426","","tests.PrivateCabinetInTest","","tests.PrivateCabinetInTest","goInBurgerLogoTest","Успешный переход в конструктор из личного кабинета через лого бургера",""
"passed","Wed Feb 09 19:47:28 MSK 2022","Wed Feb 09 19:47:33 MSK 2022","4640","","tests.RegistrationTest","","tests.RegistrationTest","unsuccessRegistrationWithPass5Char","Неуспешная регистрация с паролем менее 6 символов",""
"passed","Wed Feb 09 19:48:01 MSK 2022","Wed Feb 09 19:48:03 MSK 2022","2685","","tests.UserLoginTest","","tests.UserLoginTest","successLoginMainPageWithPersAccButtonTest","Успешный логин при попадании на страницу логина через кнопку Личный кабинет",""
"passed","Wed Feb 09 19:47:33 MSK 2022","Wed Feb 09 19:47:39 MSK 2022","6339","","tests.RegistrationYandexTest","","tests.RegistrationYandexTest","successRegistrationWithPass6Char","Успешная регистрация с паролем 6 символов",""
"passed","Wed Feb 09 19:47:15 MSK 2022","Wed Feb 09 19:47:17 MSK 2022","2489","","tests.PrivateCabinetInYandexTest","","tests.PrivateCabinetInYandexTest","goInBurgerLogoTest","Успешный переход в конструктор из личного кабинета через лого бургера",""
"passed","Wed Feb 09 19:46:51 MSK 2022","Wed Feb 09 19:46:52 MSK 2022","1771","","tests.ConstructorYandexTest","","tests.ConstructorYandexTest","BunsTabTest","При попадании на главную страницу по дефолту открыта вкладка Булки",""
"passed","Wed Feb 09 19:46:40 MSK 2022","Wed Feb 09 19:46:42 MSK 2022","2080","","tests.ConstructorTest","","tests.ConstructorTest","GoToppingTabTest","Успешный переход на вкладку начинки",""
"passed","Wed Feb 09 19:46:42 MSK 2022","Wed Feb 09 19:46:44 MSK 2022","1853","","tests.ConstructorTest","","tests.ConstructorTest","BunsTabTest","При попадании на главную страницу по дефолту открыта вкладка Булки",""
"passed","Wed Feb 09 19:47:17 MSK 2022","Wed Feb 09 19:47:21 MSK 2022","3505","","tests.RegistrationTest","","tests.RegistrationTest","successRegistrationWithPass6Char","Успешная регистрация с паролем 6 символов",""
"passed","Wed Feb 09 19:47:57 MSK 2022","Wed Feb 09 19:48:01 MSK 2022","3655","","tests.UserLoginTest","","tests.UserLoginTest","successLoginMainPageFromRegisterFormTest","Успешный логин при попадании на страницу логина из формы регистрации",""
"passed","Wed Feb 09 19:47:39 MSK 2022","Wed Feb 09 19:47:45 MSK 2022","6111","","tests.RegistrationYandexTest","","tests.RegistrationYandexTest","successRegistrationWithPass7Char","Успешная регистрация с паролем 7 символов",""
"passed","Wed Feb 09 19:46:58 MSK 2022","Wed Feb 09 19:47:00 MSK 2022","2648","","tests.PrivateCabinetInTest","","tests.PrivateCabinetInTest","goInConstructorTest","Успешный переход в конструктор из личного кабинета",""
"passed","Wed Feb 09 19:46:44 MSK 2022","Wed Feb 09 19:46:46 MSK 2022","2035","","tests.ConstructorYandexTest","","tests.ConstructorYandexTest","GoSauceTabTest","Успешный переход на вкладку Соусы",""
"passed","Wed Feb 09 19:47:21 MSK 2022","Wed Feb 09 19:47:28 MSK 2022","7462","","tests.RegistrationTest","","tests.RegistrationTest","successRegistrationWithPass7Char","Успешная регистрация с паролем 7 символов",""
"passed","Wed Feb 09 19:47:52 MSK 2022","Wed Feb 09 19:47:57 MSK 2022","5430","","tests.UserLoginTest","","tests.UserLoginTest","successLoginMainPageFromForgotPassFormTest","Успешный логин при попадании на страницу логина из формы восстановления пароля",""
"passed","Wed Feb 09 19:46:38 MSK 2022","Wed Feb 09 19:46:40 MSK 2022","2298","","tests.ConstructorTest","","tests.ConstructorTest","GoBunTabTest","Успешный переход на вкладку Булки из других вкладок",""
"passed","Wed Feb 09 19:46:52 MSK 2022","Wed Feb 09 19:46:55 MSK 2022","2465","","tests.PrivateCabinetInTest","","tests.PrivateCabinetInTest","successInOrderFeedPrivateCabinetTest","Успешный переход в личный кабинет со страницы Ленты заказов",""
"passed","Wed Feb 09 19:48:12 MSK 2022","Wed Feb 09 19:48:15 MSK 2022","2817","","tests.UserLoginYandexTest","","tests.UserLoginYandexTest","successLoginMainPageWithInButton","Успешный логин при попадании на страницу логина через кнопку Войти в аккаунт",""
"passed","Wed Feb 09 19:46:49 MSK 2022","Wed Feb 09 19:46:51 MSK 2022","2059","","tests.ConstructorYandexTest","","tests.ConstructorYandexTest","GoToppingTabTest","Успешный переход на вкладку начинки",""
"passed","Wed Feb 09 19:47:12 MSK 2022","Wed Feb 09 19:47:15 MSK 2022","2331","","tests.PrivateCabinetInYandexTest","","tests.PrivateCabinetInYandexTest","successInMainPrivateCabinetTest","Успешный переход в личный кабинет с главной страницы",""
"passed","Wed Feb 09 19:47:07 MSK 2022","Wed Feb 09 19:47:10 MSK 2022","2612","","tests.PrivateCabinetInYandexTest","","tests.PrivateCabinetInYandexTest","goExitTest","Успешный выход из личного кабинета",""
"passed","Wed Feb 09 19:47:10 MSK 2022","Wed Feb 09 19:47:12 MSK 2022","2348","","tests.PrivateCabinetInYandexTest","","tests.PrivateCabinetInYandexTest","goInConstructorTest","Успешный переход в конструктор из личного кабинета",""
"passed","Wed Feb 09 19:48:15 MSK 2022","Wed Feb 09 19:48:18 MSK 2022","2439","","tests.UserLoginYandexTest","","tests.UserLoginYandexTest","successLoginMainPageFromForgotPassForm","Успешный логин при попадании на страницу логина из формы восстановления пароля",""
"passed","Wed Feb 09 19:48:10 MSK 2022","Wed Feb 09 19:48:12 MSK 2022","2795","","tests.UserLoginYandexTest","","tests.UserLoginYandexTest","successLoginMainPageWithPersAccButton","Успешный логин при попадании на страницу логина через кнопку Личный кабинет",""
"passed","Wed Feb 09 19:46:55 MSK 2022","Wed Feb 09 19:46:58 MSK 2022","2697","","tests.PrivateCabinetInTest","","tests.PrivateCabinetInTest","goExitTest","Успешный выход из личного кабинета",""
"passed","Wed Feb 09 19:47:05 MSK 2022","Wed Feb 09 19:47:07 MSK 2022","2366","","tests.PrivateCabinetInYandexTest","","tests.PrivateCabinetInYandexTest","successInOrderFeedPrivateCabinetTest","Успешный переход в личный кабинет со страницы Ленты заказов",""
"passed","Wed Feb 09 19:47:45 MSK 2022","Wed Feb 09 19:47:52 MSK 2022","6585","","tests.RegistrationYandexTest","","tests.RegistrationYandexTest","unsuccessRegistrationWithPass5Char","Неуспешная ресгитрация с паролем менее 6 символов",""
"passed","Wed Feb 09 19:48:06 MSK 2022","Wed Feb 09 19:48:10 MSK 2022","3257","","tests.UserLoginYandexTest","","tests.UserLoginYandexTest","successLoginMainPageFromRegisterForm","Успешный логин при попадании на страницу логина из формы регистрации",""
